track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Around the Fur,Deftones,spotify:track:3Fwe3XoPOiyWUPYdBKMTqV,0.449,0.87,5,-4.241,0,0.112,1.94e-05,0.0411,0.0797,0.229,79.952,4
Around the World,Aqua,spotify:track:18lq8FwQ94jlSk95PTM7Mr,0.705,0.976,6,-4.261,1,0.0309,0.00213,0.000158,0.342,0.967,129.952,4
Around The World,Daft Punk,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,4
Around The World,Red Hot Chili Peppers,spotify:track:0aGQHMr7bc23Y9Ts84ffop,0.504,0.96,0,-1.464,1,0.183,0.00417,0.569,0.0613,0.774,96.682,4
Around The World,Nat King Cole,spotify:track:3ps7CQq1zNxAvbXMgHfypY,0.218,0.385,10,-10.132,1,0.0307,0.893,1.53e-05,0.293,0.227,174.816,3
Around The World (2),Red Hot Chili Peppers,spotify:track:2GPsLljvlsoT229xgJ2AdT,0.529,0.943,0,-3.603,0,0.183,0.00366,0.671,0.079,0.711,96.982,4
Around The World (2),Daft Punk,spotify:track:5RByQFt9Mlo8hDYJ921tCv,0.629,0.787,5,-8.399,0,0.0646,0.00152,0.359,0.209,0.581,125.998,4
Around The World (La La La La La),A Touch Of Class,spotify:track:7CvOnbFdnIoXMQ4eFCo5lB,0.617,0.977,9,-7.028,0,0.0276,0.153,0.0016,0.133,0.679,131.965,4
Around The World In 80 Days,Movie Themes,spotify:track:0l02EWgW7DnOZInAzLRFeB,0.214,0.274,3,-13.477,1,0.035,0.724,0.843,0.131,0.161,118.392,4
Arpeggi,Radiohead,spotify:track:4wajJ1o7jWIg62YqpkHC7S,0.531,0.61,11,-8.025,0,0.0387,0.772,0.756,0.0908,0.199,152.958,4
Arranca Corazones,Attaque 77,spotify:track:1FW1nMPaTUgGtMcNvReDWY,0.49,0.72,7,-5.19,1,0.0325,0.0691,0.0114,0.0717,0.342,114.154,4
Arrival,A Teens ABBA Teens,spotify:track:0i2UIuXKAoDrK1LzI5qUcd,0.803,0.901,4,-4.275,1,0.0328,0.00177,0.0117,0.0853,0.65,134.993,4
Arrival,ABBA,spotify:track:3jX1p2EoSE3jpSlpapMcaJ,0.232,0.491,1,-7.328,1,0.0329,0.689,0.938,0.0662,0.153,69.612,3
Arrival,King Diamond,spotify:track:3ZpWfZPOCyksjzI7hBz5BH,0.273,0.923,5,-10.836,1,0.0774,1.08e-05,0.115,0.449,0.256,82.284,4
Arrivederci Roma,Flippers,spotify:track:7txAgeVt3awdUQUf9jzsi9,0.493,0.714,6,-7.737,1,0.0339,0.0375,2.76e-06,0.451,0.818,118.049,4
Arriving Somewhere But Not Here,Porcupine Tree,spotify:track:6gYx4SBZz99Lwn6V5iDll9,0.377,0.789,2,-5.032,0,0.0504,0.016,0.705,0.245,0.048,159.965,4
Art Decade,David Bowie,spotify:track:1TfzSwueVDW3b1xTJ46O26,0.424,0.24,9,-17.846,1,0.0279,0.869,0.92,0.1,0.0431,78.035,4
Art Decade,David Bowie,spotify:track:1TfzSwueVDW3b1xTJ46O26,0.424,0.24,9,-17.846,1,0.0279,0.869,0.92,0.1,0.0431,78.035,4
Art Of Janick Gers,Iron Maiden,spotify:track:61OAgxFuyBkaMruh35bY4u,0.389,0.386,7,-18.431,0,0.0361,0.897,0.872,0.105,0.158,160.002,4
Art of Self-Destruction,Nine Inch Nails,spotify:track:5MaxY0WVbCfiUH6qLH8ans,0.503,0.831,2,-10.466,1,0.0779,0.00289,0.645,0.111,0.0879,99.961,4
Art School Girl,Stone Temple Pilots,spotify:track:4jI15xh4txiG1emdIhw2lk,0.549,0.718,4,-9.055,1,0.0922,0.0607,0,0.0871,0.893,120.006,4
Arthur,Movie Themes,spotify:track:1zODnXYeFnSqXHYzyixi2b,0.557,0.476,9,-12.479,1,0.0351,0.275,0,0.103,0.381,136.046,4
Arthur,Kinks,spotify:track:24KQDJcQjdIj6AOAGSGGyw,0.593,0.897,2,-6.802,1,0.0356,0.00858,0,0.0918,0.935,123.335,4
Artifacts Of The Black Rain,In Flames,spotify:track:1K9PuAo1YA5WKmRXHFYsKk,0.134,0.994,10,-5.043,0,0.23,5.83e-06,0.838,0.984,0.0676,163.018,4
Artificial Life,Operation Ivy,spotify:track:6oQ4aZWJ665RrhzhXrMZrm,0.528,0.927,2,-4.593,1,0.0579,0.0354,0.0854,0.0738,0.909,94.437,4
As,George Michael,spotify:track:7r3KzVwHtr2iMZtqJvFn9A,0.667,0.736,8,-8.168,0,0.191,0.135,0,0.203,0.766,93.193,4
As Above So Below,Behemoth,spotify:track:2aQcNdGr3UDwAvp3ltbuHo,0.394,0.94,10,-5.3,0,0.152,7.17e-05,0.0033,0.0547,0.207,99.592,4
As Any Fool Can See,Tracy Lawerance,spotify:track:2oBr2EWU1shRAezig3HF5B,0.676,0.713,7,-8.658,1,0.0267,0.0783,0,0.277,0.879,122.881,4
As good as I once was,Toby Keith,spotify:track:7G6l2FtQyRhQgYgut2I6i8,0.68,0.87,5,-4.461,1,0.0393,0.266,0,0.109,0.646,119.075,4
As Good As It Gets,Movie Themes,spotify:track:4BkmGfKF1lgl2Nq7Lg3J5L,0.654,0.7,4,-8.182,0,0.0298,0.00504,0.00236,0.0333,0.742,127.987,4
As Good As New,A Teens ABBA Teens,spotify:track:0i2UIuXKAoDrK1LzI5qUcd,0.803,0.901,4,-4.275,1,0.0328,0.00177,0.0117,0.0853,0.65,134.993,4
As Good As New,ABBA,spotify:track:71or1G6CbfIttRDnBnTTAL,0.846,0.783,4,-5.697,1,0.0327,0.199,0.0225,0.0753,0.967,138.843,4
As i aly dying,Artists / Bands,spotify:track:0CcqWuAEJC93K8cBMbAjgI,0.477,0.994,5,-4.953,0,0.241,0.000115,0.0129,0.0534,0.0397,125.058,4
As i aly dying,Artists / Bands,spotify:track:0CcqWuAEJC93K8cBMbAjgI,0.477,0.994,5,-4.953,0,0.241,0.000115,0.0129,0.0534,0.0397,125.058,4
As i aly dying,Artists / Bands,spotify:track:0CcqWuAEJC93K8cBMbAjgI,0.477,0.994,5,-4.953,0,0.241,0.000115,0.0129,0.0534,0.0397,125.058,4
As i aly dying,Artists / Bands,spotify:track:0CcqWuAEJC93K8cBMbAjgI,0.477,0.994,5,-4.953,0,0.241,0.000115,0.0129,0.0534,0.0397,125.058,4
As i aly dying,Artists / Bands,spotify:track:0CcqWuAEJC93K8cBMbAjgI,0.477,0.994,5,-4.953,0,0.241,0.000115,0.0129,0.0534,0.0397,125.058,4
As i aly dying,Artists / Bands,spotify:track:0CcqWuAEJC93K8cBMbAjgI,0.477,0.994,5,-4.953,0,0.241,0.000115,0.0129,0.0534,0.0397,125.058,4
As I Am,Dream Theater,spotify:track:6hz6lrQtLcxOOjflnYjF9o,0.514,0.95,7,-4.657,1,0.0725,1.09e-05,0.0135,0.19,0.149,130.027,4
As I Die,Paradise Lost,spotify:track:4W8Tg32pT7ggSwABIfuIMI,0.366,0.865,2,-9.829,0,0.0478,0.0154,0.569,0.0697,0.363,109.923,4
As long as I have you,Elvis,spotify:track:2g6tFw2Rr7o9y4BfA7kF4o,0.397,0.0823,3,-14.81,1,0.038,0.981,0.0001,0.106,0.265,70.53,4
As Long As It Matters,Gin Blossoms,spotify:track:4LR75dqM5Y1SUVzxxvnnt1,0.395,0.727,7,-7.58,1,0.0294,0.0157,0.000871,0.122,0.649,180.789,4
As Long As You Follow,Fleetwood Mac,spotify:track:0TevBnk5pL8DEqKixmcgt9,0.6,0.646,5,-6.876,1,0.0228,0.237,0,0.466,0.501,102.728,4
As Long As You Love Me,Backstreet Boys,spotify:track:3UpS7kBnkVQYG13pDDFTC4,0.804,0.801,0,-4.892,1,0.0305,0.275,3.29e-05,0.215,0.826,98.12,4
As She's Walkin' Away,Zac Brown Band,spotify:track:65UCejW01DAovmluVYHWAt,0.553,0.619,3,-7.101,1,0.0308,0.479,0,0.123,0.376,183.908,4
As She's Walkin' Away,Alan Jackson,spotify:track:2MxvvBEJreIHojGrYCwTVB,0.556,0.655,3,-5.909,1,0.031,0.46,0,0.12,0.334,183.981,4
As Soon As The Good Times Roll,Scorpions,spotify:track:4ohhenxUyR2fKN65VmF4ZK,0.352,0.837,11,-2.874,0,0.0701,0.187,0.00132,0.332,0.534,131.348,4
As Sure As Im Standing Here,Barry Manilow,spotify:track:0YnFg6z63sj1oF6lRPcE30,0.38,0.23,7,-14.587,0,0.0263,0.687,0.00174,0.177,0.0681,134.143,4
As Tears Go By,Rolling Stones,spotify:track:1LD75COdR1n8jTIjommyS2,0.331,0.277,7,-11.035,1,0.0295,0.723,0.00263,0.181,0.366,112.78,4
As The Future Repeats Today,In Flames,spotify:track:6HoCeAKD0dbRffEmoe29Xh,0.356,0.955,6,-4.406,1,0.0865,2.38e-06,0.222,0.446,0.416,79.994,4
As The Tears Go By,Jethro Tull,spotify:track:5zyYjd6yeJsO37EHGDhv5M,0.522,0.583,0,-8.554,1,0.0269,0.551,1.65e-05,0.343,0.736,127.706,4
As Time Goes By,Tv Themes,spotify:track:78xzh9UxoITEHHKI45P2u7,0.591,0.28,10,-12.727,1,0.0319,0.0313,0.799,0.254,0.423,69.025,4
As Time Goes By,Richard Clayderman,spotify:track:3rncuVNWo3VihTFY7IPnp9,0.531,0.312,3,-15.44,1,0.0251,0.827,0.905,0.133,0.357,79.635,4
As Ugly As I Seem,White Stripes,spotify:track:2o7AsEHNWI6cVWtnlT2Jlk,0.614,0.333,2,-14.528,1,0.0363,0.938,0.119,0.11,0.801,142.355,4
As Wicked,Rancid,spotify:track:5vBNc1C29U3d1MaxVShaHk,0.448,0.983,2,-3.759,1,0.149,0.00675,0.046,0.0468,0.474,164.851,4
Asayake,Casiopea,spotify:track:1UjzHYbkXAzMHAemGLa6A1,0.578,0.798,4,-8.402,1,0.0506,0.0679,0.926,0.237,0.7,115.104,4
Ascent of Stan (Live),Ben Folds Five,spotify:track:1JsrhWs2mx0DkdNS2wwDSQ,0.425,0.639,10,-8.986,1,0.0342,0.096,0.00368,0.122,0.112,117.534,4
Asche Zu Asche,Rammstein,spotify:track:407eqFGqQc40KPf43YrQ44,0.563,0.906,9,-7.503,1,0.0734,0.00164,0.0179,0.0722,0.71,169.967,4
Ascolta il tuo cuore,Laura Pausini,spotify:track:3usuR2G8pqCkrpks9FOVnP,0.642,0.589,2,-5.37,0,0.0268,0.321,0,0.0948,0.39,84.907,4
Ashamed,Muse,spotify:track:3fJ2gS2uZiUx6cuNXktj1Y,0.255,0.928,1,-5.018,0,0.144,0.000795,0.698,0.366,0.252,120.837,4
Ashes,Embrace,spotify:track:0CVfKztCrPwXHH7fykMybj,0.425,0.764,2,-7.59,1,0.0353,0.106,0,0.126,0.41,138.102,4
Ashes,Pain Of Salvation,spotify:track:4h7jJZ8XXHqoAK5jun28qT,0.326,0.626,9,-6.335,0,0.0286,0.000129,0.00144,0.251,0.105,139.338,4
Ashes In The Fall,Rage Against The Machine,spotify:track:7o2Razxnl33Jrgz4PpMYNa,0.456,0.704,7,-6.687,1,0.0982,0.0052,4.12e-06,0.0595,0.656,140.629,4
Ashes in Your Mouth,Megadeth,spotify:track:5aJ4pPOIOsZH6vd5VuB8P6,0.342,0.971,6,-3.103,0,0.118,8.27e-05,0.317,0.106,0.321,144.922,4
Ashes To Ashes,David Bowie,spotify:track:37CRPk0L5ZpfPeePEPwE0t,0.71,0.743,1,-10.553,1,0.0507,0.273,0.000406,0.258,0.866,120.277,4
Ashes To Ashes,Faith No More,spotify:track:0tZ9qh1m1NGP6rzSf57PGO,0.572,0.81,0,-7.407,1,0.0274,8.52e-05,0.000138,0.0998,0.313,98.459,4
Ashes To Ashes,Blind Guardian,spotify:track:4fRNyJfGsEVdDEzvvi2h2s,0.261,0.976,8,-5.388,0,0.122,0.000114,0.338,0.118,0.126,180.015,4
Ashtray Heart,White Stripes,spotify:track:3jUXDyGRhU0y4IUdtjUVMU,0.25,0.942,0,-6.298,1,0.263,8.22e-05,0.038,0.311,0.237,184.323,4
Asian Sky,Steve Vai,spotify:track:2s1k1yKCfMuMElFuWonc1u,0.465,0.935,6,-6.032,1,0.0885,0.00115,3.18e-06,0.836,0.586,140.087,4
Ask,Smiths,spotify:track:2AdRSHeYmDGMrgIfiS2w7K,0.453,0.986,7,-5.768,1,0.119,0.387,0,0.422,0.455,166.594,4
Ask Me Why,Beatles,spotify:track:7529Z6b1rlGZFFPWjHPeV5,0.605,0.394,4,-11.33,1,0.0378,0.767,0,0.0967,0.597,133.942,4
Asking For It,Hole,spotify:track:5qpkqpn8Q57ULOiB4qL2cD,0.445,0.626,0,-8.696,1,0.0333,0.018,0.000605,0.0858,0.307,122.385,4
Asleep,Godsmack,spotify:track:2ZeNxnSmRitn9O2z2uHZmH,0.613,0.349,7,-8.766,1,0.0252,0.579,0,0.0765,0.052,103.977,4
Aspen,Rippingtons,spotify:track:2qkGZeaz6aO1U1RphjsV9r,0.716,0.665,8,-9.689,1,0.0314,0.356,0.816,0.0505,0.81,117.95,4
Aspen Glow,John Denver,spotify:track:5e8uZumHJUHUO9ANKJigrS,0.518,0.0582,0,-21.777,1,0.0313,0.87,0.0975,0.0819,0.313,97.96,3
Aspirin Damage,Alice Cooper,spotify:track:1jGlQWWS6KKUS4T7y2i9RY,0.792,0.502,9,-12.407,1,0.0395,0.401,6.3e-06,0.0723,0.991,133.646,4
Ass Itch,Korn,spotify:track:5J27jwHsL1LYMMz9rOdHuw,0.423,0.95,9,-7.764,1,0.145,0.000298,0.0913,0.162,0.413,130.11,4
Ass Itch,Korn,spotify:track:5J27jwHsL1LYMMz9rOdHuw,0.423,0.95,9,-7.764,1,0.145,0.000298,0.0913,0.162,0.413,130.11,4
Ass Like That,Eminem,spotify:track:4gXdMZkBN1neE9nX6yRALa,0.646,0.796,2,-6.152,1,0.366,0.409,0,0.107,0.676,83.093,4
Assault on Precinct 13,Movie Themes,spotify:track:0OIeP5KIYZEiirT0mKA9GY,0.508,0.312,7,-17.557,1,0.0742,0.00134,0.943,0.0849,0.246,177.523,4
Asshole,Nirvana,spotify:track:1MAe7ApGwfxiVUXoEvWcHN,0.499,0.956,11,-2.307,0,0.0446,0.0176,0.946,0.0943,0.239,174.024,4
Assshaker,Master Gold,spotify:track:2DE1GDd6GGrU8miaMnw9ev,0.865,0.764,10,-4.024,0,0.115,0.00844,4.47e-06,0.0836,0.573,97.517,4
Asteroid Stage,Starfox,spotify:track:4lmiIL1ZvrP14c1itWpXrM,0.466,0.464,8,-6.353,1,0.0316,0.799,0,0.134,0.64,77.889,4
Asthenia,Blink 182,spotify:track:153bsdXSG7KD3Q8ShRNpNK,0.403,0.881,2,-7.224,1,0.108,0.158,9.86e-06,0.107,0.287,174.835,4
Asthma,P.O.D.,spotify:track:5biPMicYYn423RHaKQ6J7w,0.576,0.786,8,-5.724,1,0.034,0.014,0.00213,0.11,0.276,116.115,4
Astonishing Panorama Of The End Times,Marilyn Manson,spotify:track:3mWtcD7VMgovl0g9fiZBdo,0.459,0.964,0,-3.787,1,0.187,0.000138,0.00118,0.41,0.192,157.358,4
Astounded,Tantric,spotify:track:0WBL72ulf4mkcflIO0W5cq,0.5,0.858,6,-6.441,1,0.0448,0.029,2.91e-06,0.322,0.524,103.969,4
Astradyne,Ultravox,spotify:track:1DDEj5j5aQYLS9kEuDgziI,0.588,0.799,9,-9.166,1,0.0354,0.0212,0.261,0.137,0.308,132.019,4
Astral Romance,Nightwish,spotify:track:1OO5Thbq410pKykcyyck8w,0.409,0.916,9,-3.684,0,0.0547,0.000916,0.192,0.23,0.23,142.696,4
Astral Romance,Nightwish,spotify:track:1OO5Thbq410pKykcyyck8w,0.409,0.916,9,-3.684,0,0.0547,0.000916,0.192,0.23,0.23,142.696,4
Astral Traveller,Yes,spotify:track:2FGUBoNvDFnz8dkmqQJb0b,0.451,0.816,7,-7.501,1,0.0644,0.02,0.0119,0.966,0.443,83.298,4
Astro,White Stripes,spotify:track:6Q3tvUvq4KMpCQhxaRKfzw,0.537,0.934,11,-4.517,0,0.0917,0.164,0.876,0.381,0.603,135.867,4
Astro Man,Jimi Hendrix,spotify:track:5H01gqINZoq0R0WBrGDzYZ,0.432,0.867,1,-6.968,1,0.0737,0.183,0.631,0.442,0.762,139.305,4
Astro Zombies,Misfits,spotify:track:0NtEhIj8DgMTnNkwiYodE6,0.49,0.959,0,-9.654,1,0.117,0.19,0.00219,0.116,0.308,125.841,4
Astronomia (Coffin Dance),Artists / Bands,spotify:track:2oMjc7AGwZSfJPFc0oEZLS,0.811,0.84,5,-11.987,0,0.176,0.479,0.935,0.0862,0.901,126.01,4
Astronomy,Blue Oyster Cult,spotify:track:2g02rt0UFudctbAnmJsm22,0.298,0.581,4,-8.133,0,0.0289,0.381,0.0224,0.172,0.26,89.285,4
Astronomy,Metallica,spotify:track:1Bpa3yoBAqpcc8mRC9jacn,0.345,0.778,3,-5.631,0,0.0407,0.000146,0.0124,0.136,0.148,86.221,4
Astronomy Domine,Pink Floyd,spotify:track:3Y8gNcoJu1uJ5L1BZuGvqB,0.348,0.633,2,-11.527,1,0.048,0.376,0.473,0.346,0.0805,124.096,4
Astronomy Domine,Voivod,spotify:track:5WC9WZykyYPwClVfalvMnS,0.342,0.888,2,-11.883,1,0.0463,0.000175,0.46,0.139,0.195,126.69,4
At Dawn They Sleep,Slayer,spotify:track:6KB4wFWZ6QZ7WU741Wvboz,0.225,0.913,1,-8.275,1,0.0591,0.000863,0.0171,0.169,0.175,74.328,4
At Home At Work At Play,Sparks,spotify:track:0WtuSuOI7b3sOJTkvECga9,0.521,0.846,4,-11.067,1,0.0381,0.224,0,0.3,0.782,97.653,4
At Last,Etta James,spotify:track:4Hhv2vrOTy89HFRcjU3QOx,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3
At Last,Glenn Miller & His Orchestra,spotify:track:445z0eM3mawIMzMfIKzjLl,0.299,0.203,9,-11.686,1,0.0302,0.965,0.248,0.235,0.172,130.785,5
At Last,Aretha Franklin,spotify:track:5nSzvsTiu2hIYKGrDn141h,0.551,0.512,5,-6.889,1,0.0261,0.257,3.73e-06,0.148,0.282,95.024,3
At Least Im Known For Something,New Found Glory,spotify:track:4d4cGbvlUt4lJ89miU5xra,0.533,0.947,4,-4.63,1,0.118,0.000511,2.63e-05,0.0895,0.713,158.979,4
At Most Beautiful,R.E.M.,spotify:track:5Knohtj8UsTpFZsTCkMZWx,0.58,0.336,5,-12.515,1,0.0252,0.791,0.883,0.111,0.217,97.795,4
At The Beginning,Anastacia,spotify:track:1B08T3L17cVYH5SV0HLrGS,0.581,0.533,8,-10.678,1,0.0259,0.695,0.000455,0.0792,0.262,93.987,4
At The End Of August,36 Crazyfists,spotify:track:7sjCYW3D73C7lxdbVifWPn,0.459,0.963,0,-5.154,1,0.0961,0.000876,0.000693,0.232,0.338,98.026,4
At The Gates Of Hell,Bewitched,spotify:track:0LqzJRyslUNtsjUJ8Cr93v,0.577,0.949,4,-6.542,0,0.226,0.0291,0,0.111,0.343,180.061,4
At The Graves,King Diamond,spotify:track:1dD08rvw51NvKQRP8VGTiV,0.219,0.801,9,-13.977,1,0.0893,0.00209,0.0525,0.0733,0.216,165.629,4
At the Hop,Danny & The Juniors,spotify:track:4LcrHUkRmXG3c0YD5VYutn,0.407,0.826,8,-8.29,1,0.0495,0.693,1.57e-05,0.285,0.891,192.21,4
At the Inn,7th Saga,spotify:track:2fXf7RwbohZZt28kWJQDS0,0.756,0.717,2,-4.122,1,0.0369,0.42,0,0.209,0.663,120.035,4
At The Library,Green Day,spotify:track:1bdlQ4jEizkBstKyw4Q4yl,0.242,0.946,7,-3.823,1,0.0721,0.00024,0.00812,0.189,0.817,92.511,4
At The Zoo,Simon And Garfunkel,spotify:track:0b1NUCAYfEOuPx9nELBBfX,0.532,0.553,4,-11.609,0,0.0485,0.428,1.3e-06,0.283,0.649,84.581,4
At This Moment,Neal McCoy,spotify:track:2T6ja0UnSsrgXwEfe6dKR5,0.456,0.285,7,-10.991,1,0.0414,0.833,0,0.0823,0.177,127.077,3
At Your Side,Corrs,spotify:track:5PdkwREHWjydwP55z6tgiA,0.587,0.819,1,-9.157,0,0.0369,0.0127,2.2e-06,0.0821,0.536,135.432,4
Atavachron,Allan Holdsworth,spotify:track:0CJg403pw8zO1sAOp5091v,0.449,0.557,4,-13.513,1,0.0336,0.296,0.491,0.366,0.45,109.723,4
Athair ar Neamh,Enya,spotify:track:5QnjtIv7EJREm0dFVrQr4e,0.214,0.149,7,-18.707,0,0.0356,0.958,0.801,0.102,0.0996,81.415,3
Atheist Peace,Bad Religion,spotify:track:72VqIWmCDS423j8TglfMWK,0.308,0.935,0,-4.023,1,0.0714,0.00112,1.17e-05,0.364,0.408,157.418,4
Atlanta Lady (Something About Your Love),Marty Balin,spotify:track:1T6qWyfo0RYyN0YFzC3APi,0.73,0.502,2,-10.389,1,0.0364,0.464,0.000212,0.151,0.785,119.941,4
Atlantic,Keane,spotify:track:1ybuIKJC8oNHMCSkqvSu4D,0.477,0.791,3,-6.815,1,0.0329,0.00378,0.000601,0.0852,0.137,130.005,4
Atlantic,Bjork,spotify:track:0ZYyAD3ZFssmqUrfBhjQst,0.15,0.211,9,-12.814,0,0.0369,0.792,0.174,0.169,0.141,82.68,4
Atlantic City,Bruce Springsteen,spotify:track:1Vp8U39YNsDfd6yVuaUq12,0.475,0.429,4,-10.577,1,0.0367,0.311,0,0.376,0.34,108.034,4
Atlantic Is Calling (Sos For Love),Modern Talking,spotify:track:53PlbcGzLTx65vjaS6tG0N,0.707,0.64,3,-11.674,0,0.0371,0.214,0.000247,0.0624,0.731,113.448,4
Atlantis,Shadows,spotify:track:7fXxgCu97Ce0p8ZlXW4aPI,0.423,0.636,5,-7.688,1,0.0302,0.486,0.717,0.254,0.463,127.259,4
Atlantis,Stratovarius,spotify:track:0o66xuvKLtUaV6mwS1L7re,0.381,0.474,11,-12.428,0,0.0378,0.871,0.83,0.307,0.198,93.537,4
Atma Battle,Final Fantasy III,spotify:track:75RG3Hm5phdpitwmgiZT3K,0.174,0.895,9,-4.963,0,0.0726,0.000206,0.918,0.33,0.152,164.894,4
Atma Battle II,Final Fantasy III,spotify:track:1ML1WzMyV0Wqg2qv5fQNRR,0.532,0.668,9,-6.535,0,0.0423,0.268,0.909,0.0931,0.707,164.105,4
Atma Battle III,Final Fantasy III,spotify:track:1ML1WzMyV0Wqg2qv5fQNRR,0.532,0.668,9,-6.535,0,0.0423,0.268,0.909,0.0931,0.707,164.105,4
Atom Heart Mother,Pink Floyd,spotify:track:1Pt7RPrjEQfzpPA9PS5aZj,0.267,0.217,9,-16.002,0,0.0332,0.785,0.882,0.0807,0.0886,137.526,4
Atomic,Blondie,spotify:track:5QIbR39hAEDIOkr4ggh4xc,0.596,0.824,4,-4.893,0,0.0361,0.0504,0.129,0.0586,0.786,135.171,4
Atomic Punk,Van Halen,spotify:track:6XzfupaB5ikgUMnrFgJBvS,0.416,0.993,6,-6.354,1,0.185,0.0131,0.000633,0.589,0.263,100.364,4
Attack,System Of A Down,spotify:track:0dxPHMZTI8TWMYRucsAFNd,0.349,0.97,6,-2.874,1,0.0892,0.005,3.31e-06,0.0432,0.299,159.779,4
Attitude,Alien Ant Farm,spotify:track:6whXv6AhIXfv8ZMWyrFqni,0.598,0.862,2,-5.859,1,0.0336,0.00314,0.084,0.219,0.833,103.966,4
Attitude,Guns N Roses,spotify:track:0ivarc4umuzp5I3J7lPDJc,0.34,0.984,1,-2.533,1,0.0938,0.000249,0,0.331,0.613,187.766,4
Attitude Dancing,Carly Simon,spotify:track:1Qak07fOmk2OnuXTDgW2FL,0.687,0.587,0,-14.726,1,0.0337,0.14,0,0.228,0.826,130.36,4
Attitude Song,Steve Vai,spotify:track:55lmoCZNQDJUwWa3bb4aSe,0.513,0.914,2,-8.337,1,0.0946,5.38e-05,0.772,0.326,0.637,116.175,4
ATWA,System Of A Down,spotify:track:6gCVA6ja6g0foIsWv0RuSZ,0.376,0.787,5,-4.731,0,0.0394,0.00378,0,0.548,0.371,87.102,4
Au Conditionel,Matmatah,spotify:track:1W7IcRwjXT5C4PrB2XlniF,0.616,0.849,1,-2.333,0,0.0243,0.0249,0.00221,0.164,0.638,94.019,4
Au Nom de la Lune,Anggun,spotify:track:4r9u9QK7KOEXgOmt3hs57g,0.627,0.808,9,-6.597,1,0.0491,0.264,0.000752,0.051,0.797,83.98,4
Au Suivant,Matthieu Chedid,spotify:track:4eEY6yqLeICDiFY1bbMuyE,0.66,0.382,5,-10.424,0,0.105,0.152,0,0.476,0.774,126.688,4
Aubrey,Bread,spotify:track:3his1UkcI0rwrniPDR9kTj,0.326,0.0902,7,-20.588,1,0.0344,0.647,0.00091,0.198,0.218,137.611,4
Auctionner,Leroy Van Dyke,spotify:track:1SsgvhtFDZIQyYck9Kh2Hg,0.701,0.727,2,-9.209,1,0.0452,0.443,2.45e-06,0.352,0.971,131.398,4
Auf Achse,Franz Ferdinand,spotify:track:01KurZH1ejoarO8tp3wXGo,0.495,0.731,5,-8.32,1,0.0276,0.00512,0.0471,0.0979,0.384,125.568,4
Auf Immer Und Ewig,Chris Rea,spotify:track:19C7c89QuLeI2jPo8Yv2Z3,0.538,0.418,2,-13.394,0,0.0291,0.715,0.407,0.0834,0.416,86.662,4
August 8th,NOFX,spotify:track:06U2dp30B07AVTdBtuhDtr,0.485,0.782,0,-8.139,1,0.0311,0.00068,0.000572,0.258,0.619,145.711,4
Auld Lang Syne,Glenn Miller & His Orchestra,spotify:track:69QnhQKHFHKPWBph7EwOJw,0.383,0.42,10,-6.838,1,0.0385,0.63,0.45,0.161,0.596,164.343,4
Aurora,Bjork,spotify:track:6yIu9fRhK5VT7NulG70Sh4,0.569,0.577,9,-8.349,0,0.0344,0.376,2.84e-05,0.0803,0.255,119.994,4
Austin,Blake Shelton,spotify:track:2WQAknZHrJAEQOFXe0F44P,0.605,0.609,7,-7.063,1,0.0278,0.188,0,0.0982,0.275,119.914,4
Austin Powers,Movie Themes,spotify:track:2UN29wKiNuexdWBpJS0ckZ,0.727,0.737,5,-10.098,0,0.0581,0.0162,0.894,0.204,0.934,154.125,4
Austin Powers - Secret Agent Man,Movie Themes,spotify:track:7a4WgcyvNCxsi937SLwkng,0.569,0.65,4,-10.966,1,0.0685,0.0744,0,0.252,0.795,77.344,4
Austin Powers - The Spy Who Shagged Me,Movie Themes,spotify:track:2qTpHAlXikblNEC87WWhBJ,0.596,0.443,2,-13.167,1,0.0297,3.04e-05,0.0239,0.228,0.36,92.484,4
Australia,National Anthems,spotify:track:3ru7IwkcFaG5Wynk66cOsz,0.264,0.466,7,-7.496,1,0.0305,0.94,3.51e-05,0.716,0.658,83.774,4
Australia,Manic Street Preachers,spotify:track:3GjGAq1fk9WvBWh3S2Op94,0.385,0.936,4,-3.466,1,0.0535,9.92e-05,0.00969,0.0762,0.525,137.901,4
Austria,National Anthems,spotify:track:32sJGBGVtOVgKyCv0muKX6,0.283,0.225,3,-11.09,1,0.0347,0.989,0.883,0.135,0.212,82.046,3
Auto Pilot,Queens Of Stone Age,spotify:track:3hWu4Z5IkREyWNT4zuuXM5,0.247,0.75,11,-4.624,0,0.041,0.501,0.0389,0.624,0.416,79.603,4
Automatic,Less Than Jake,spotify:track:6hxxNvnPcPZFUqQxtjHMG7,0.353,0.975,2,-2.877,1,0.0688,0.000155,2.99e-05,0.0796,0.684,132.628,4
Automatic,Powerman 5000,spotify:track:1IV4lgyMj6qnZnSjimhBKL,0.578,0.962,6,-3.941,1,0.0636,0.000463,0.000276,0.0958,0.561,127.993,4
