track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
12 Days Of Christmas,Christmas,spotify:track:0uOO2oHVYUPd1QomAoznoD,0.294,0.414,5,-13.601,1,0.041,0.985,0.904,0.242,0.722,78.915,1
12 Days of Christmas (2),Christmas,spotify:track:0uOO2oHVYUPd1QomAoznoD,0.294,0.414,5,-13.601,1,0.041,0.985,0.904,0.242,0.722,78.915,1
12 Monkeys,Movie Themes,spotify:track:6DUSTheQlLWrmEKheoqmvI,0.669,0.236,11,-20.068,0,0.957,0.291,1.08e-05,0.2,0.441,88.938,4
12:51,The Strokes,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,4
"1, 2, 3",311,spotify:track:3IPvTOQ178Cr71exZFMN4H,0.468,0.598,6,-11.466,0,0.0741,0.2,0.000325,0.0556,0.188,142.123,4
13 Miles(other Version),Blink 182,spotify:track:6HvUYS1xDfTCGWoeVrv3XS,0.429,0.974,0,-5.136,1,0.0899,0.00168,0,0.164,0.33,110.373,4
13 Steps Nowhere,Pantera,spotify:track:2kDN0ndI1hvxIkE6YqlKjO,0.273,0.86,2,-5.385,1,0.0846,4.78e-06,0.841,0.0813,0.256,176.689,4
13 Stitches,NOFX,spotify:track:0Nc3hRP3VVWniBqHQtTjVY,0.529,0.945,7,-3.197,1,0.039,0.509,2.99e-05,0.529,0.713,119.512,4
13 X Forever,Garbage,spotify:track:04WKG2a4rRHFTvh5mtkp6l,0.584,0.882,5,-6.457,0,0.0454,0.000419,0.00743,0.0746,0.618,130.0,4
14 Balloons,Matchbook Romance,spotify:track:2PivaWBUK6ZCHB2LQF9PN2,0.407,0.921,11,-2.941,1,0.116,0.00454,0,0.0496,0.271,93.921,4
14 Carat Mind,Gene Watson,spotify:track:2E8uzMkkWwOjE9WMEbmzpt,0.515,0.913,5,-8.504,1,0.0392,0.54,0.257,0.92,0.77,95.411,3
14 Years,Guns N Roses,spotify:track:7xki0BmuOllyquWqjhETyr,0.41,0.929,6,-5.884,1,0.0354,0.0273,0.0013,0.12,0.554,138.462,4
1414,Artists / Bands,spotify:track:3DO8WRX72c1Z5hduVL1Nd5,0.68,0.451,7,-8.76,1,0.0329,0.794,0,0.0971,0.371,87.042,4
1444,Artists / Bands,spotify:track:6kEeWGjGxzJexhfI04qAnS,0.647,0.718,0,-8.973,1,0.0382,0.00384,0,0.125,0.206,129.974,4
1492 Conquest of Paradise,Movie Themes,spotify:track:3x8NHkodAUXXYptDISTN8F,0.342,0.514,2,-4.532,1,0.032,0.885,0.946,0.0739,0.0807,147.901,3
15 Step,Radiohead,spotify:track:4oXg7xT4ksBxHTx8PcmSXw,0.598,0.854,1,-7.584,1,0.0422,0.0477,0.338,0.0934,0.844,94.458,4
156,Artists / Bands,spotify:track:2cE6LvbWLHYqxmNwXbKN4o,0.706,0.674,1,-6.854,1,0.25,0.121,0,0.0193,0.744,78.01,4
16,Green Day,spotify:track:0dDept3NG63mlj7iJ8sVho,0.519,0.96,0,-3.352,1,0.0537,0.000571,3.88e-06,0.294,0.774,157.993,4
16 (2),Green Day,spotify:track:1OnCMU5yjTJ7eue5DYrlPH,0.547,0.308,4,-19.565,1,0.043,0.932,0.927,0.111,0.55,143.06,4
 16-5-74,Laura Pausini,spotify:track:7DCZJbCtVNL8YN0ZD9b9qz,0.341,0.57,9,-6.611,1,0.0378,0.719,0,0.0583,0.492,80.074,4
16th Century Greensleeves,Rainbow,spotify:track:2yLJYUUKb96x5hagbRB9cB,0.477,0.913,11,-6.634,0,0.0887,0.00747,0.0816,0.982,0.501,89.976,4
17,Smashing Pumpkins,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,4
18,Alice Cooper,spotify:track:25WJtORPLmMCIUIKRJyPhz,0.365,0.968,9,-6.036,1,0.0635,0.146,3.75e-05,0.973,0.14,100.082,4
18,Beyond,spotify:track:1a2HPrBeGw0HjxBpujnUQq,0.873,0.638,0,-7.21,1,0.208,0.168,0,0.138,0.631,132.909,4
18 wheels,Kathy Mattea,spotify:track:6EGRx5TVuHAsmy3JKb8SRC,0.647,0.6,8,-13.625,1,0.0261,0.0684,0.000112,0.0738,0.961,139.274,4
18 Wheels And A Dozen Roses,Alabama,spotify:track:2GvtcLBsK0oKCpOYce0jrl,0.623,0.724,2,-6.549,1,0.0302,0.0294,2.33e-05,0.234,0.695,144.079,4
1812 Overture,Peter Tchaikovsky,spotify:track:6mhQ7eOHaV0ur2ooKTavW1,0.173,0.182,3,-18.848,1,0.0437,0.886,0.894,0.224,0.0781,70.831,4
19 - 2000,Gorillaz,spotify:track:1PpfeNl5uYRBhfFcig2Uz6,0.673,0.897,0,-3.986,1,0.0512,0.194,0,0.299,0.892,102.045,4
1917,David Bowie,spotify:track:3K6hlr7y4BZluVw9DZIkWb,0.532,0.666,4,-5.421,0,0.0496,0.00843,0.766,0.079,0.704,92.987,4
1941,Movie Themes,spotify:track:3pjyFJLoLrRmPoK5uab03K,0.644,0.343,5,-11.053,1,0.0315,0.95,0.772,0.135,0.166,104.878,4
1963,New Order,spotify:track:3RxyagFJ4YFSFh0Igjci2A,0.638,0.925,8,-6.927,1,0.0315,0.00407,0.163,0.0369,0.904,125.613,4
1969,Vines,spotify:track:3oMNSKH4VbHG30wOHu7GVd,0.246,0.894,9,-4.599,1,0.0406,0.000975,0.00109,0.102,0.462,137.556,4
1973,James Blunt,spotify:track:66w1QC72ga2athGZkFC81s,0.72,0.668,9,-7.928,1,0.0269,0.0653,0.00675,0.0789,0.769,123.005,4
1979,Smashing Pumpkins,spotify:track:4pNbJCLRwOdHFLh5QGDBdY,0.762,0.807,3,-9.404,1,0.0332,0.014,0.506,0.053,0.963,126.883,4
